id,note
266042,A socalled BL movies with Drama overflow.
266046,"Brilliantly revals the emotional connection between riots in 1967 and 2019. Compared to Revolution of Our Times directed by a Christian, Blue Island clings to a more depressingly recurring view."
266041,"The first half hour is already a complete movie. The performance and cinematography are still good for the rest part, but the storyline feels not as necessary as the first half hour. Also the performance of Terrance Lau and Cecilia Choi is unbalanced. Choi is excellent, but her emotional tension is weaker compared to Lau."
266043,"Entirely shot on film, revealing the beauty of Shanghai."
266128,"""Sold to Hong Kong"" appeared again in this episode (15:00 – 16:00) and is censored again."
266127,"Cinematography of these old TV series attracts me. For example, outdoor scenes at night are so charmingly dark."
266126,"""People who are married, yet continue to deceive innocent girls ... (girls) could have all been sold to Hong Kong.""(22:00 – 23:00) censored on Amazon Prime Video and was censored on the version dubbed in Cantonese on TVB in Hong Kong."
653,My first time watching a tinted film.
285999,"Well, at least I enjoyed watching some nice costumes and got exposed to Zulu language."
280050,"""Solid enough nonsense"" certified by Ben Hunt of Autosport, Fred Smith of Road & Track, Phillip Horton of Autoweek, and Katy Fairman of Motor Sport."
288486,"The ambitious director Gerard Johnstone switched the genre from horror to action to target a much larger audience base, ignoring that he only had less than 25 million for an action movie. The budget of T2 1991 is about 100 million."
300076,"I watched the 36-minute 21-second version released by the sponsor 'Positive Short Movie Sponsorship by Sherring Ng' on YouTube, and the 34-minute 53-second version streamed online during the 3rd Hong Kong Onscreen Film Festival. I was more attached to the slightly darker and heavier former version, but also more impressed by the ending of the later version: the roadside lights and the Old Supreme Court Building lit up remind me of lyrics from the song 'Promise 2020' by Albert Leung Wai Man, 'still recall the streetlights illuminating the yellow thoughts' and 'have not forgotten the promise to meet again at the rice cooker'."
300069,"The idea of letting strangers in two countries making phone calls to each other and filming one side of the conversation is brilliant."
300071,"I like long static shots."
300045,"I have stayed at the exact location of this documentary in my last trip to Hong Kong. What a coincidence!"
300067,"This is a diary of an outsider, not a Hong Konger, which is fine in itself. But most of what the documentary presents applies to outsiders of other big cities as well. In other words, I am interested in an outsider in Hong Kong, not an outsider in a big city which happens to be Hong Kong."
300074,"I guess the director wants to tell a story of two female human beings encountering each other accidentally. But the screenplay is boring and the performance lacks chemistry."
300072,"I like its experimental vibe but feel it is too long."
291226,"A witch comes to a town, revealing some hidden horrors of ordinary life. And I am impressed by weird little things in the movie such as the cursed running form."
288488,"I like the classic vibe."
280198,"I have heard about the Final Destination series for a long time and this is my first time watching it. The coincidence leading to death is impressive to me."
206649,"Although it is shot with digital cameras, the cinematography has a film-like feel."